RSTR_ID,MENU_NM,MENU_DSCRN,MENU_CTGRY_LCLAS_NM,MENU_CTGRY_SCLAS_NM,RSTR_NM,AREA_NM,MENU_PRICE,RSTR_RDNMADR,RSTR_LNNO_ADRES,BSNS_STATM_BZCND_NM,BSNS_LCNC_NM,RSTR_INTRCN_CONT,PRDL_SEAT_CNT,SEAT_CNT,PRKG_POS_YN,WIFI_OFR_YN,DCRN_YN,PET_ENTRN_POSBL_YN,FGGG_MENU_OFR_YN,TLROM_INFO_CN,RESTDY_INFO_CN,BSNS_TM_CN,HMDLV_SALE_YN,DSBR_CVNTL_YN,DELV_SRVIC_YN,CRCMF_LDMARK_NM,CRCMF_LDMARK_DIST,MB_PMAMT_YN,REPRSNT_MENU_NM,AWARD_INFO_DSCRN,ONLINE_CONV_PRGS_YN,NAVER_GRAD
3283,고기만두3P,"야채,두부,고기,밀가루",한식,만두,천일홍,부산광역시 서구,2000.0,부산광역시 서구 송도해변로 85,부산광역시 서구 암남동 355-25,회집,일반음식점,"부산광역시 서구에서 맛집을 찾으신다면 ""천일홍""을 추천합니다.",,,Y,Y,N,N,Y,Y,,"평일 10:00~22:00, 토요일 10:00~22:00, 일요일 10:00~22:00",N,N,N,송도해상케이블카,600.69358,N,,,Y,3.8599999
3358,복지리,"야채,복어",한식,지리,삼다복국,부산광역시 해운대구,12000.0,부산광역시 해운대구 해운대해변로265번길 11,부산광역시 해운대구 우동 1384,한식,일반음식점,"""삼다복국""을 부산광역시 해운대구의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다!",38.0,,N,N,N,N,Y,N,,,N,N,Y,해운대해수욕장,159.301737,N,,,Y,4.0300002
3362,등심(120g/1인),소등심,한식,등심,해송갈비,부산광역시 해운대구,30000.0,부산광역시 해운대구 구남로41번길 41-6,부산광역시 해운대구 중동 1394-164,한식,일반음식점,"부산광역시 해운대구에서 어디를 갈지 고민이라면! ""해송갈비""에 가보시는 건 어떨까요?",,,Y,N,N,N,Y,Y,,매일 00:00~24:00,N,N,N,해운대해수욕장,418.095069,N,,,Y,4.4200001
3366,모듬회(小),"생선,생선회",한식,모둠회,고성횟집,부산광역시 사하구,50000.0,부산광역시 사하구 몰운대1길 37,부산광역시 사하구 다대동 468-8,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 사하구 맛집, ""고성횟집""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,,,N,N,N,다대포 해수욕장,98.338138,N,,안심식당(농림축산식품부),Y,4.1999998
3369,장어구이(小),장어,한식,구이,유정,부산광역시 수영구,50000.0,부산광역시 수영구 광안해변로 287,부산광역시 수영구 민락동 181-37,회집,일반음식점,"부산광역시 수영구에서 맛집을 찾으신다면 ""유정""을 추천합니다.",,,Y,N,N,N,Y,N,,매일 11:00~24:00,N,N,N,광안리 해수욕장,646.064861,N,,,Y,4.3200002
3739,정식,장어,한식,정식,민경회센타,부산광역시 서구,5000.0,,부산광역시 서구 남부민동 650,회집,일반음식점,"""민경회센타""를 부산광역시 서구의 가 볼 만한 식당으로 추천합니다!",,,N,N,N,N,Y,N,일요일,매일 05:00~21:00,N,N,N,부산공동어시장,233.913888,N,,,Y,
3778,산곰장어(양념/대),장어,한식,장어,송정꼬리치는 산곰장어,부산광역시 해운대구,60000.0,부산광역시 해운대구 송정해변로 20-1,부산광역시 해운대구 송정동 291-21,회집,일반음식점,"부산광역시 해운대구에서 식당을 찾으신다면? ""송정꼬리치는 산곰장어""를 방문해보세요!",,,N,Y,N,N,Y,Y,,,N,N,N,"송정해수욕장, 죽도공원",411.142054,N,,,Y,4.23
3781,1人참치,돼지고기,한식,참치,하루참치,부산광역시 해운대구,50000.0,부산광역시 해운대구 중동1로27번길 9,부산광역시 해운대구 중동 1378-75,한식,일반음식점,"부산광역시 해운대구에서 식당을 찾으신다면? ""하루참치""를 방문해보세요!",,,N,Y,N,N,Y,N,,,N,N,N,해운대해수욕장,504.906333,N,,,Y,4.7399998
3789,쌈밥(2인이상),"야채,쌀",한식,쌈밥,초원쌈밥,부산광역시 수영구,1.0,부산광역시 수영구 광안해변로295번길 4-13,부산광역시 수영구 민락동 153-3,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 수영구 맛집, ""초원쌈밥""을 추천합니다!",,,Y,N,N,N,Y,N,,매일 07:00~20:00,N,N,N,민락수변공원,472.047694,N,,,Y,4.3800001
3790,돼지갈비덮밥,돼지갈비,양식,덮밥,니노미야,부산광역시 수영구,7900.0,부산광역시 수영구 남천동로22번길 10,부산광역시 수영구 남천동 16-8,경양식,일반음식점,"부산광역시 수영구에 가신다면 ""니노미야""에 방문해보세요~",,,N,Y,N,N,Y,Y,,평일 11:30~20:00,N,N,N,,,N,,,Y,3.9000001
